================ Training Loss (Tue Jan  9 20:02:37 2024) ================
(epoch: 112, iters: 12, time: 0.030, data: 0.003) G_GAN: 1.877 G_L1: 21.603 D_real: 0.233 D_fake: 1.215 
(epoch: 112, iters: 312, time: 0.020, data: 0.002) G_GAN: 0.968 G_L1: 25.097 D_real: 0.757 D_fake: 0.238 
(epoch: 113, iters: 204, time: 0.008, data: 0.002) G_GAN: 2.009 G_L1: 23.749 D_real: 0.072 D_fake: 0.988 
(epoch: 114, iters: 96, time: 0.008, data: 0.002) G_GAN: 0.734 G_L1: 23.706 D_real: 0.925 D_fake: 0.189 
(epoch: 114, iters: 396, time: 0.008, data: 0.001) G_GAN: 2.225 G_L1: 25.068 D_real: 0.056 D_fake: 1.149 
(epoch: 115, iters: 288, time: 0.020, data: 0.001) G_GAN: 1.625 G_L1: 22.100 D_real: 0.388 D_fake: 0.455 
(epoch: 116, iters: 180, time: 0.008, data: 0.002) G_GAN: 1.531 G_L1: 22.215 D_real: 0.553 D_fake: 0.170 
(epoch: 117, iters: 72, time: 0.008, data: 0.002) G_GAN: 1.403 G_L1: 24.599 D_real: 0.732 D_fake: 0.297 
(epoch: 117, iters: 372, time: 0.008, data: 0.002) G_GAN: 2.674 G_L1: 26.566 D_real: 0.042 D_fake: 0.608 
(epoch: 118, iters: 264, time: 0.026, data: 0.002) G_GAN: 0.575 G_L1: 22.094 D_real: 0.572 D_fake: 0.284 
(epoch: 119, iters: 156, time: 0.008, data: 0.002) G_GAN: 2.112 G_L1: 25.367 D_real: 0.126 D_fake: 0.682 
(epoch: 120, iters: 48, time: 0.009, data: 0.001) G_GAN: 2.142 G_L1: 24.370 D_real: 0.133 D_fake: 0.859 
(epoch: 120, iters: 348, time: 0.008, data: 0.002) G_GAN: 1.329 G_L1: 23.373 D_real: 0.675 D_fake: 0.181 
(epoch: 121, iters: 240, time: 0.022, data: 0.002) G_GAN: 0.299 G_L1: 20.964 D_real: 1.800 D_fake: 0.209 
(epoch: 122, iters: 132, time: 0.008, data: 0.002) G_GAN: 2.607 G_L1: 24.177 D_real: 0.098 D_fake: 0.455 
(epoch: 123, iters: 24, time: 0.022, data: 0.002) G_GAN: 0.768 G_L1: 21.355 D_real: 0.865 D_fake: 0.364 
(epoch: 123, iters: 324, time: 0.008, data: 0.001) G_GAN: 2.076 G_L1: 23.530 D_real: 0.233 D_fake: 0.315 
(epoch: 124, iters: 216, time: 0.022, data: 0.001) G_GAN: 0.976 G_L1: 26.360 D_real: 0.755 D_fake: 0.105 
(epoch: 125, iters: 108, time: 0.008, data: 0.002) G_GAN: 1.078 G_L1: 24.519 D_real: 0.395 D_fake: 0.212 
(epoch: 125, iters: 408, time: 0.005, data: 0.002) G_GAN: 0.760 G_L1: 23.589 D_real: 0.624 D_fake: 0.249 
(epoch: 126, iters: 300, time: 0.008, data: 6.560) G_GAN: 1.721 G_L1: 24.548 D_real: 0.263 D_fake: 0.202 
(epoch: 127, iters: 192, time: 0.021, data: 0.002) G_GAN: 1.541 G_L1: 25.805 D_real: 0.303 D_fake: 0.159 
(epoch: 128, iters: 84, time: 0.008, data: 0.002) G_GAN: 1.290 G_L1: 22.630 D_real: 0.478 D_fake: 0.277 
(epoch: 128, iters: 384, time: 0.011, data: 0.003) G_GAN: 2.129 G_L1: 24.321 D_real: 0.098 D_fake: 0.721 
(epoch: 129, iters: 276, time: 0.010, data: 0.002) G_GAN: 0.789 G_L1: 22.950 D_real: 0.355 D_fake: 0.308 
(epoch: 130, iters: 168, time: 0.037, data: 0.001) G_GAN: 1.827 G_L1: 24.255 D_real: 0.075 D_fake: 0.808 
(epoch: 131, iters: 60, time: 0.009, data: 0.002) G_GAN: 1.634 G_L1: 24.504 D_real: 0.256 D_fake: 0.527 
(epoch: 131, iters: 360, time: 0.010, data: 0.002) G_GAN: 2.209 G_L1: 23.340 D_real: 0.072 D_fake: 1.926 
(epoch: 132, iters: 252, time: 0.009, data: 0.004) G_GAN: 2.169 G_L1: 23.891 D_real: 0.284 D_fake: 0.231 
(epoch: 133, iters: 144, time: 0.036, data: 0.003) G_GAN: 2.085 G_L1: 24.993 D_real: 0.417 D_fake: 0.150 
(epoch: 134, iters: 36, time: 0.013, data: 0.002) G_GAN: 1.164 G_L1: 25.324 D_real: 0.628 D_fake: 0.180 
(epoch: 134, iters: 336, time: 0.009, data: 0.002) G_GAN: 1.648 G_L1: 21.750 D_real: 0.728 D_fake: 0.334 
(epoch: 135, iters: 228, time: 0.009, data: 0.005) G_GAN: 2.269 G_L1: 22.341 D_real: 0.204 D_fake: 0.659 
(epoch: 136, iters: 120, time: 0.049, data: 0.003) G_GAN: 2.191 G_L1: 23.267 D_real: 0.280 D_fake: 0.348 
(epoch: 137, iters: 12, time: 0.016, data: 0.003) G_GAN: 2.444 G_L1: 22.416 D_real: 0.093 D_fake: 2.013 
(epoch: 137, iters: 312, time: 0.009, data: 0.001) G_GAN: 2.044 G_L1: 22.328 D_real: 0.213 D_fake: 1.064 
(epoch: 138, iters: 204, time: 0.010, data: 0.002) G_GAN: 2.292 G_L1: 22.894 D_real: 0.231 D_fake: 0.369 
(epoch: 139, iters: 96, time: 0.038, data: 0.002) G_GAN: 2.665 G_L1: 24.120 D_real: 0.193 D_fake: 0.272 
(epoch: 139, iters: 396, time: 0.010, data: 0.001) G_GAN: 1.943 G_L1: 22.915 D_real: 0.699 D_fake: 0.105 
(epoch: 140, iters: 288, time: 0.009, data: 0.004) G_GAN: 2.328 G_L1: 22.835 D_real: 0.187 D_fake: 0.496 
(epoch: 141, iters: 180, time: 0.009, data: 0.003) G_GAN: 0.880 G_L1: 20.917 D_real: 0.517 D_fake: 0.198 
(epoch: 142, iters: 72, time: 0.049, data: 0.002) G_GAN: 2.425 G_L1: 22.164 D_real: 0.178 D_fake: 0.752 
(epoch: 142, iters: 372, time: 0.012, data: 0.002) G_GAN: 2.390 G_L1: 23.590 D_real: 0.098 D_fake: 0.886 
(epoch: 143, iters: 264, time: 0.009, data: 0.002) G_GAN: 1.027 G_L1: 24.160 D_real: 0.646 D_fake: 0.092 
(epoch: 144, iters: 156, time: 0.009, data: 0.002) G_GAN: 1.769 G_L1: 25.677 D_real: 0.228 D_fake: 0.239 
(epoch: 145, iters: 48, time: 0.041, data: 0.002) G_GAN: 0.637 G_L1: 21.595 D_real: 1.289 D_fake: 0.259 
(epoch: 145, iters: 348, time: 0.010, data: 0.002) G_GAN: 2.189 G_L1: 24.141 D_real: 0.337 D_fake: 0.406 
(epoch: 146, iters: 240, time: 0.009, data: 0.002) G_GAN: 1.966 G_L1: 23.315 D_real: 0.188 D_fake: 0.192 
(epoch: 147, iters: 132, time: 0.010, data: 0.003) G_GAN: 1.283 G_L1: 23.320 D_real: 1.103 D_fake: 0.081 
(epoch: 148, iters: 24, time: 0.049, data: 0.002) G_GAN: 2.836 G_L1: 22.043 D_real: 0.057 D_fake: 0.766 
